"fecha_vigencia","precio","provincia","localidad","direccion"
"23/10/2023",284,"BUENOS AIRES","VERONICA","CALLE 29 Y DIAGONAL 61"
"25/11/2023",356,"BUENOS AIRES","VERONICA","CALLE 29 Y DIAGONAL 61"
"01/11/2023",311,"BUENOS AIRES","VIEYTES","RUTA 36 KM 121"
"02/08/2023",244.7,"BUENOS AIRES","VIEYTES","RUTA 36 KM 121"
"08/07/2023",234.2,"BUENOS AIRES","VIEYTES","RUTA 36 KM 121"
"08/12/2023",446,"BUENOS AIRES","VIEYTES","RUTA 36 KM 121"
"13/12/2023",613,"BUENOS AIRES","VIEYTES","RUTA 36 KM 121"
"18/08/2023",275.3,"BUENOS AIRES","VIEYTES","RUTA 36 KM 121"
"23/10/2023",284,"BUENOS AIRES","VIEYTES","RUTA 36 KM 121"
"25/11/2023",356,"BUENOS AIRES","VIEYTES","RUTA 36 KM 121"
"01/11/2023",331,"BUENOS AIRES","GONZALEZ MORENO","RUTA 70 Y ACCESO A GLEZ. MORENO"
"02/08/2023",260.5,"BUENOS AIRES","GONZALEZ MORENO","RUTA 70 Y ACCESO A GLEZ. MORENO"
"08/07/2023",249.3,"BUENOS AIRES","GONZALEZ MORENO","RUTA 70 Y ACCESO A GLEZ. MORENO"
"08/12/2023",475,"BUENOS AIRES","GONZALEZ MORENO","RUTA 70 Y ACCESO A GLEZ. MORENO"
"13/12/2023",649,"BUENOS AIRES","GONZALEZ MORENO","RUTA 70 Y ACCESO A GLEZ. MORENO"
"18/08/2023",293.1,"BUENOS AIRES","GONZALEZ MORENO","RUTA 70 Y ACCESO A GLEZ. MORENO"
"23/10/2023",302,"BUENOS AIRES","GONZALEZ MORENO","RUTA 70 Y ACCESO A GLEZ. MORENO"
"25/11/2023",379,"BUENOS AIRES","GONZALEZ MORENO","RUTA 70 Y ACCESO A GLEZ. MORENO"
"01/11/2023",331,"BUENOS AIRES","CARLOS TEJEDOR","ACC. A RUTA 226 S/N Y DR. RATTO"
"02/08/2023",260.5,"BUENOS AIRES","CARLOS TEJEDOR","ACC. A RUTA 226 S/N Y DR. RATTO"
"08/07/2023",249.3,"BUENOS AIRES","CARLOS TEJEDOR","ACC. A RUTA 226 S/N Y DR. RATTO"
"08/12/2023",475,"BUENOS AIRES","CARLOS TEJEDOR","ACC. A RUTA 226 S/N Y DR. RATTO"
"13/12/2023",649,"BUENOS AIRES","CARLOS TEJEDOR","ACC. A RUTA 226 S/N Y DR. RATTO"
"18/08/2023",293.1,"BUENOS AIRES","CARLOS TEJEDOR","ACC. A RUTA 226 S/N Y DR. RATTO"
"23/10/2023",302,"BUENOS AIRES","CARLOS TEJEDOR","ACC. A RUTA 226 S/N Y DR. RATTO"
"25/11/2023",379,"BUENOS AIRES","CARLOS TEJEDOR","ACC. A RUTA 226 S/N Y DR. RATTO"
"01/11/2023",331,"BUENOS AIRES","CARHUE","Moreno 10"
"02/08/2023",260.5,"BUENOS AIRES","CARHUE","Moreno 10"
"08/07/2023",249.3,"BUENOS AIRES","CARHUE","Moreno 10"
"08/12/2023",475,"BUENOS AIRES","CARHUE","Moreno 10"
"13/12/2023",649,"BUENOS AIRES","CARHUE","Moreno 10"
"18/08/2023",293.1,"BUENOS AIRES","CARHUE","Moreno 10"
"23/10/2023",302,"BUENOS AIRES","CARHUE","Moreno 10"
"25/11/2023",379,"BUENOS AIRES","CARHUE","Moreno 10"
"01/11/2023",307,"BUENOS AIRES","WILDE","CRISOLOGO LARRALDE 5310"
"02/08/2023",241.7,"BUENOS AIRES","WILDE","CRISOLOGO LARRALDE 5310"
"08/07/2023",231.3,"BUENOS AIRES","WILDE","CRISOLOGO LARRALDE 5310"
"08/12/2023",444,"BUENOS AIRES","WILDE","CRISOLOGO LARRALDE 5310"
"13/12/2023",611,"BUENOS AIRES","WILDE","CRISOLOGO LARRALDE 5310"
"18/08/2023",271.9,"BUENOS AIRES","WILDE","CRISOLOGO LARRALDE 5310"
"23/10/2023",280,"BUENOS AIRES","WILDE","CRISOLOGO LARRALDE 5310"
"25/11/2023",351,"BUENOS AIRES","WILDE","CRISOLOGO LARRALDE 5310"
"01/11/2023",323,"CORDOBA","RIO TERCERO","AVDA. GRAL. SAVIO 1202"
"02/08/2023",254.8,"CORDOBA","RIO TERCERO","AVDA. GRAL. SAVIO 1202"
"08/07/2023",243.8,"CORDOBA","RIO TERCERO","AVDA. GRAL. SAVIO 1202"
"08/12/2023",460,"CORDOBA","RIO TERCERO","AVDA. GRAL. SAVIO 1202"
"13/12/2023",639,"CORDOBA","RIO TERCERO","AVDA. GRAL. SAVIO 1202"
"18/08/2023",286.7,"CORDOBA","RIO TERCERO","AVDA. GRAL. SAVIO 1202"
"23/10/2023",295,"CORDOBA","RIO TERCERO","AVDA. GRAL. SAVIO 1202"
"25/11/2023",370,"CORDOBA","RIO TERCERO","AVDA. GRAL. SAVIO 1202"
"01/11/2023",326,"CORDOBA","CORDOBA","AV. COLON 4989"
"02/08/2023",256.4,"CORDOBA","CORDOBA","AV. COLON 4989"
"08/07/2023",245.4,"CORDOBA","CORDOBA","AV. COLON 4989"
"08/12/2023",463,"CORDOBA","CORDOBA","AV. COLON 4989"
"13/12/2023",639,"CORDOBA","CORDOBA","AV. COLON 4989"
"18/08/2023",288.5,"CORDOBA","CORDOBA","AV. COLON 4989"
"23/10/2023",297,"CORDOBA","CORDOBA","AV. COLON 4989"
"25/11/2023",373,"CORDOBA","CORDOBA","AV. COLON 4989"
"01/11/2023",272,"CAPITAL FEDERAL","CAPITAL FEDERAL","AV. JUAN BAUTISTA ALBERDI 5628"
"02/08/2023",213.8,"CAPITAL FEDERAL","CAPITAL FEDERAL","AV. JUAN BAUTISTA ALBERDI 5628"
"08/07/2023",204.6,"CAPITAL FEDERAL","CAPITAL FEDERAL","AV. JUAN BAUTISTA ALBERDI 5628"
